Emu Log - Tue Jul 20 10:34:13 2021

=======================================================================

0x0000 - 0x000f    f0  90  90  90  f0  20  60  20  20  70  f0  10  f0  80  f0  f0  
0x0010 - 0x001f    10  f0  10  f0  90  90  f0  10  10  f0  80  f0  10  f0  f0  80  
0x0020 - 0x002f    f0  90  f0  f0  10  20  40  40  f0  90  f0  90  f0  f0  90  f0  
0x0030 - 0x003f    10  f0  f0  90  f0  90  90  e0  90  e0  90  e0  f0  80  80  80  
0x0040 - 0x004f    f0  e0  90  90  90  e0  f0  80  f0  80  f0  f0  80  f0  80  80  
0x0050 - 0x005f    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0060 - 0x006f    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0070 - 0x007f    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0080 - 0x008f    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0090 - 0x009f    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x00a0 - 0x00af    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x00b0 - 0x00bf    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x00c0 - 0x00cf    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x00d0 - 0x00df    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x00e0 - 0x00ef    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x00f0 - 0x00ff    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0100 - 0x010f    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0110 - 0x011f    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0120 - 0x012f    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0130 - 0x013f    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0140 - 0x014f    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0150 - 0x015f    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0160 - 0x016f    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0170 - 0x017f    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0180 - 0x018f    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0190 - 0x019f    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x01a0 - 0x01af    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x01b0 - 0x01bf    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x01c0 - 0x01cf    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x01d0 - 0x01df    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x01e0 - 0x01ef    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x01f0 - 0x01ff    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0200 - 0x020f    00  e0  a2  2a  60  0c  61  08  d0  1f  70  09  a2  39  d0  1f  
0x0210 - 0x021f    a2  48  70  08  d0  1f  70  04  a2  57  d0  1f  70  08  a2  66  
0x0220 - 0x022f    d0  1f  70  08  a2  75  d0  1f  12  28  ff  00  ff  00  3c  00  
0x0230 - 0x023f    3c  00  3c  00  3c  00  ff  00  ff  ff  00  ff  00  38  00  3f  
0x0240 - 0x024f    00  3f  00  38  00  ff  00  ff  80  00  e0  00  e0  00  80  00  
0x0250 - 0x025f    80  00  e0  00  e0  00  80  f8  00  fc  00  3e  00  3f  00  3b  
0x0260 - 0x026f    00  39  00  f8  00  f8  03  00  07  00  0f  00  bf  00  fb  00  
0x0270 - 0x027f    f3  00  e3  00  43  e0  00  e0  00  80  00  80  00  80  00  80  
0x0280 - 0x028f    00  e0  00  e0  00  00  00  00  00  00  00  00  00  00  00  00  
0x0290 - 0x029f    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x02a0 - 0x02af    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x02b0 - 0x02bf    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x02c0 - 0x02cf    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x02d0 - 0x02df    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x02e0 - 0x02ef    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x02f0 - 0x02ff    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0300 - 0x030f    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0310 - 0x031f    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0320 - 0x032f    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0330 - 0x033f    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0340 - 0x034f    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0350 - 0x035f    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0360 - 0x036f    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0370 - 0x037f    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0380 - 0x038f    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0390 - 0x039f    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x03a0 - 0x03af    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x03b0 - 0x03bf    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x03c0 - 0x03cf    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x03d0 - 0x03df    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x03e0 - 0x03ef    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x03f0 - 0x03ff    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0400 - 0x040f    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0410 - 0x041f    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0420 - 0x042f    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0430 - 0x043f    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0440 - 0x044f    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0450 - 0x045f    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0460 - 0x046f    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0470 - 0x047f    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0480 - 0x048f    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0490 - 0x049f    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x04a0 - 0x04af    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x04b0 - 0x04bf    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x04c0 - 0x04cf    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x04d0 - 0x04df    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x04e0 - 0x04ef    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x04f0 - 0x04ff    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0500 - 0x050f    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0510 - 0x051f    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0520 - 0x052f    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0530 - 0x053f    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0540 - 0x054f    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0550 - 0x055f    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0560 - 0x056f    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0570 - 0x057f    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0580 - 0x058f    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0590 - 0x059f    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x05a0 - 0x05af    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x05b0 - 0x05bf    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x05c0 - 0x05cf    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x05d0 - 0x05df    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x05e0 - 0x05ef    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x05f0 - 0x05ff    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0600 - 0x060f    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0610 - 0x061f    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
