Read ROM successfully
Program Counter	HighByte LowByte		Instruction nibble	X	Y	Last	Assembly
0200			00		 e0				00					0	e	0		00E0 - CLS
0202			a2		 2a				0a					2	2	a		Aa2a - LD I, a2a
0204			60		 0c				06					0	0	c		600c - LD V0, 0c
0206			61		 08				06					1	0	8		6108 - LD V1, 08
0208			d0		 1f				0d					0	1	f		DXYN  - DRW Vx, Vy, nibble - Not implemented 
020a			70		 09				07					0	0	9		7009 - ADD V0, 09
020c			a2		 39				0a					2	3	9		Aa39 - LD I, a39
020e			d0		 1f				0d					0	1	f		DXYN  - DRW Vx, Vy, nibble - Not implemented 
0210			a2		 48				0a					2	4	8		Aa68 - LD I, a68
0212			70		 08				07					0	0	8		7008 - ADD V0, 08
0214			d0		 1f				0d					0	1	f		DXYN  - DRW Vx, Vy, nibble - Not implemented 
0216			70		 04				07					0	0	4		7004 - ADD V0, 04
0218			a2		 57				0a					2	5	7		Aa77 - LD I, a77
021a			d0		 1f				0d					0	1	f		DXYN  - DRW Vx, Vy, nibble - Not implemented 
021c			70		 08				07					0	0	8		7008 - ADD V0, 08
021e			a2		 66				0a					2	6	6		Aa66 - LD I, a66
0220			d0		 1f				0d					0	1	f		DXYN  - DRW Vx, Vy, nibble - Not implemented 
0222			70		 08				07					0	0	8		7008 - ADD V0, 08
0224			a2		 75				0a					2	7	5		Aa75 - LD I, a75
0226			d0		 1f				0d					0	1	f		DXYN  - DRW Vx, Vy, nibble - Not implemented 
0228			12		 28				01					2	2	8		1128 - JP 128
012a			00		 00				00					0	0	0		
012c			00		 00				00					0	0	0		
012e			00		 00				00					0	0	0		
0130			00		 00				00					0	0	0		
0132			00		 00				00					0	0	0		
0134			00		 00				00					0	0	0		
0136			00		 00				00					0	0	0		
0138			00		 00				00					0	0	0		
013a			00		 00				00					0	0	0		
013c			00		 00				00					0	0	0		
013e			00		 00				00					0	0	0		
0140			00		 00				00					0	0	0		
0142			00		 00				00					0	0	0		
0144			00		 00				00					0	0	0		
0146			00		 00				00					0	0	0		
0148			00		 00				00					0	0	0		
014a			00		 00				00					0	0	0		
014c			00		 00				00					0	0	0		
014e			00		 00				00					0	0	0		
0150			00		 00				00					0	0	0		
0152			00		 00				00					0	0	0		
0154			00		 00				00					0	0	0		
0156			00		 00				00					0	0	0		
0158			00		 00				00					0	0	0		
015a			00		 00				00					0	0	0		
015c			00		 00				00					0	0	0		
015e			00		 00				00					0	0	0		
0160			00		 00				00					0	0	0		
0162			00		 00				00					0	0	0		
0164			00		 00				00					0	0	0		
0166			00		 00				00					0	0	0		
0168			00		 00				00					0	0	0		
016a			00		 00				00					0	0	0		
016c			00		 00				00					0	0	0		
016e			00		 00				00					0	0	0		
0170			00		 00				00					0	0	0		
0172			00		 00				00					0	0	0		
0174			00		 00				00					0	0	0		
0176			00		 00				00					0	0	0		
0178			00		 00				00					0	0	0		
017a			00		 00				00					0	0	0		
017c			00		 00				00					0	0	0		
017e			00		 00				00					0	0	0		
0180			00		 00				00					0	0	0		
0182			00		 00				00					0	0	0		
0184			00		 00				00					0	0	0		
0186			00		 00				00					0	0	0		
0188			00		 00				00					0	0	0		
018a			00		 00				00					0	0	0		
018c			00		 00				00					0	0	0		
018e			00		 00				00					0	0	0		
0190			00		 00				00					0	0	0		
0192			00		 00				00					0	0	0		
0194			00		 00				00					0	0	0		
0196			00		 00				00					0	0	0		
0198			00		 00				00					0	0	0		
019a			00		 00				00					0	0	0		
019c			00		 00				00					0	0	0		
019e			00		 00				00					0	0	0		
01a0			00		 00				00					0	0	0		
01a2			00		 00				00					0	0	0		
01a4			00		 00				00					0	0	0		
01a6			00		 00				00					0	0	0		
01a8			00		 00				00					0	0	0		
01aa			00		 00				00					0	0	0		
01ac			00		 00				00					0	0	0		
01ae			00		 00				00					0	0	0		
01b0			00		 00				00					0	0	0		
01b2			00		 00				00					0	0	0		
01b4			00		 00				00					0	0	0		
01b6			00		 00				00					0	0	0		
01b8			00		 00				00					0	0	0		
01ba			00		 00				00					0	0	0		
01bc			00		 00				00					0	0	0		
01be			00		 00				00					0	0	0		
01c0			00		 00				00					0	0	0		
01c2			00		 00				00					0	0	0		
01c4			00		 00				00					0	0	0		
01c6			00		 00				00					0	0	0		
01c8			00		 00				00					0	0	0		
01ca			00		 00				00					0	0	0		
01cc			00		 00				00					0	0	0		
01ce			00		 00				00					0	0	0		
01d0			00		 00				00					0	0	0		
01d2			00		 00				00					0	0	0		
01d4			00		 00				00					0	0	0		
01d6			00		 00				00					0	0	0		
01d8			00		 00				00					0	0	0		
01da			00		 00				00					0	0	0		
01dc			00		 00				00					0	0	0		
01de			00		 00				00					0	0	0		
01e0			00		 00				00					0	0	0		
01e2			00		 00				00					0	0	0		
01e4			00		 00				00					0	0	0		
01e6			00		 00				00					0	0	0		
01e8			00		 00				00					0	0	0		
01ea			00		 00				00					0	0	0		
01ec			00		 00				00					0	0	0		
01ee			00		 00				00					0	0	0		
01f0			00		 00				00					0	0	0		
01f2			00		 00				00					0	0	0		
01f4			00		 00				00					0	0	0		
01f6			00		 00				00					0	0	0		
01f8			00		 00				00					0	0	0		
01fa			00		 00				00					0	0	0		
01fc			00		 00				00					0	0	0		
01fe			00		 00				00					0	0	0		
0200			00		 e0				00					0	e	0		00E0 - CLS
0202			a2		 2a				0a					2	2	a		Aa2a - LD I, a2a
0204			60		 0c				06					0	0	c		600c - LD V0, 0c
0206			61		 08				06					1	0	8		6108 - LD V1, 08
0208			d0		 1f				0d					0	1	f		DXYN  - DRW Vx, Vy, nibble - Not implemented 
020a			70		 09				07					0	0	9		7009 - ADD V0, 09
020c			a2		 39				0a					2	3	9		Aa39 - LD I, a39
020e			d0		 1f				0d					0	1	f		DXYN  - DRW Vx, Vy, nibble - Not implemented 
0210			a2		 48				0a					2	4	8		Aa68 - LD I, a68
0212			70		 08				07					0	0	8		7008 - ADD V0, 08
0214			d0		 1f				0d					0	1	f		DXYN  - DRW Vx, Vy, nibble - Not implemented 
0216			70		 04				07					0	0	4		7004 - ADD V0, 04
0218			a2		 57				0a					2	5	7		Aa77 - LD I, a77
021a			d0		 1f				0d					0	1	f		DXYN  - DRW Vx, Vy, nibble - Not implemented 
021c			70		 08				07					0	0	8		7008 - ADD V0, 08
021e			a2		 66				0a					2	6	6		Aa66 - LD I, a66
0220			d0		 1f				0d					0	1	f		DXYN  - DRW Vx, Vy, nibble - Not implemented 
0222			70		 08				07					0	0	8		7008 - ADD V0, 08
0224			a2		 75				0a					2	7	5		Aa75 - LD I, a75
0226			d0		 1f				0d					0	1	f		DXYN  - DRW Vx, Vy, nibble - Not implemented 
0228			12		 28				01					2	2	8		1128 - JP 128
012a			00		 00				00					0	0	0		
012c			00		 00				00					0	0	0		
012e			00		 00				00					0	0	0		
0130			00		 00				00					0	0	0		
0132			00		 00				00					0	0	0		
0134			00		 00				00					0	0	0		
0136			00		 00				00					0	0	0		
0138			00		 00				00					0	0	0		
013a			00		 00				00					0	0	0		
013c			00		 00				00					0	0	0		
013e			00		 00				00					0	0	0		
0140			00		 00				00					0	0	0		
0142			00		 00				00					0	0	0		
0144			00		 00				00					0	0	0		
0146			00		 00				00					0	0	0		
0148			00		 00				00					0	0	0		
014a			00		 00				00					0	0	0		
014c			00		 00				00					0	0	0		
014e			00		 00				00					0	0	0		
0150			00		 00				00					0	0	0		
0152			00		 00				00					0	0	0		
0154			00		 00				00					0	0	0		
0156			00		 00				00					0	0	0		
0158			00		 00				00					0	0	0		
015a			00		 00				00					0	0	0		
015c			00		 00				00					0	0	0		
015e			00		 00				00					0	0	0		
0160			00		 00				00					0	0	0		
0162			00		 00				00					0	0	0		
0164			00		 00				00					0	0	0		
0166			00		 00				00					0	0	0		
0168			00		 00				00					0	0	0		
016a			00		 00				00					0	0	0		
016c			00		 00				00					0	0	0		
016e			00		 00				00					0	0	0		
0170			00		 00				00					0	0	0		
0172			00		 00				00					0	0	0		
0174			00		 00				00					0	0	0		
0176			00		 00				00					0	0	0		
0178			00		 00				00					0	0	0		
017a			00		 00				00					0	0	0		
017c			00		 00				00					0	0	0		
017e			00		 00				00					0	0	0		
0180			00		 00				00					0	0	0		
0182			00		 00				00					0	0	0		
